dataSl	timeSl	vehicleID	vehicleX	vehicleY	vehicleAngle	vehicleType	vehicleSpeed	vehiclePos	vehicleLane	vehicleSlope	vehicleDegree	vehicleDegreePlusOne	allVehicleID	withinTRID	cumulativeDistance	shortestDistance	averageDistance	vehicleScore	vehicleRanking	vehicleStatus	clusterNo	clusterMember
001	08/09/21	veh01	9.5	-4.8	90	Car1	10	3.1	1x2_0	0	0	1	0-	0-	0	0	0	0	1	CH	0	0#
    002	08/09/21	veh02	19.5	-4.8	90	Car1	10	13.1	1x2_0	0	0	1	0-	0-	0	0	0	0	1	CH	0	0#
003	08/09/21	veh03	29.5	-4.8	90	Car1	10	23.1	1x2_0	0	1	2	0-1-	0-1-	20	20	20	39980	39980	CH	0	0#1#
004	08/09/21	veh04	9.5	-4.8	90	Car1	10	3.1	1x2_0	0	1	2	0-1-	0-1-	20	20	20	39980	39979		-1	
005	08/09/21	veh05	39.5	-4.8	90	Car1	10	33.1	1x2_0	0	1	2	0-1-	0-1-	20	20	20	39980	39980	CH	0	0#1#
006	08/09/21	veh06	19.5	-4.8	90	Car1	10	13.1	1x2_0	0	1	2	0-1-	0-1-	20	20	20	39980	39979		-1	
007	08/09/21	veh07	49.5	-4.8	90	Car1	10	43.1	1x2_0	0	2	3	0-1-2-	0-1-2-	60	20	30	39970	39970		-1	
008	08/09/21	veh08	29.5	-4.8	90	Car1	10	23.1	1x2_0	0	2	3	0-1-2-	0-1-2-	40	20	20	39980	39979	CH	1	0#1#2#
009	08/09/21	veh09	9.5	-4.8	90	Car1	10	3.1	1x2_0	0	2	3	0-1-2-	0-1-2-	60	20	30	39970	39968		-1	
010	08/09/21	veh10	59.5	-4.8	90	Car1	10	53.1	1x2_0	0	2	3	0-1-2-	0-1-2-	60	20	30	39970	39970		-1	
011	08/09/21	veh11	39.5	-4.8	90	Car1	10	33.1	1x2_0	0	2	3	0-1-2-	0-1-2-	40	20	20	39980	39979	CH	1	0#1#2#
  012	08/09/21	veh12	19.5	-4.8	90	Car1	10	13.1	1x2_0	0	2	3	0-1-2-	0-1-2-	60	20	30	39970	39968		-1	
013	08/09/21	veh13	69.5	-4.8	90	Car1	10	63.1	1x2_0	0	3	4	0-1-2-3-	0-1-2-3-	120	20	40	39960	39960		-1	
014	08/09/21	veh14	49.5	-4.8	90	Car1	10	43.1	1x2_0	0	3	4	0-1-2-3-	0-1-2-3-	80	20	26.67	39973.33	39972	CH	1	0#1#2#3#
015	08/09/21	veh15	29.5	-4.8	90	Car1	10	23.1	1x2_0	0	3	4	0-1-2-3-	0-1-2-3-	80	20	26.67	39973.33	39971		-1	
016	08/09/21	veh16	9.5	-4.8	90	Car1	10	3.1	1x2_0	0	3	4	0-1-2-3-	0-1-2-3-	120	20	40	39960	39957		-1	
017	08/09/21	veh17	79.5	-4.8	90	Car1	10	73.1	1x2_0	0	3	4	0-1-2-3-	0-1-2-3-	120	20	40	39960	39960		-1	
018	08/09/21	veh18	59.5	-4.8	90	Car1	10	53.1	1x2_0	0	3	4	0-1-2-3-	0-1-2-3-	80	20	26.67	39973.33	39972	CH	1	0#1#2#3#
